persona; grupo; instrumento;Obra;Año
Luis Alberto Spinetta; Bundleman; Voz;No registra;NA
Emilio del Guercio; Bundleman; Voz;No registra;NA
Luis Alberto Spinetta; Los Larkings; Guitarra;No registra;NA
Luis Alberto Spinetta; Los Larkings; Voz;No registra;NA
Rodolfo Garcia; Los Larkings; Bateria;No registra;NA
Hector Nuñez; Los Larkings; Bajo;No registra;NA
Horacio Soria; Los Larkings; Guitarra;No registra;NA
Carlos Xartuch; Los Larkings; Piano;No registra;NA
Guido Meda; Los Masters; Bajo;No registra;NA
Daniel Albertelli; Los Masters; Guitarra;No registra;NA
Rodolfo Garcia; Los Masters; Bateria;No registra;NA
Luis Alberto Spinetta; Los Masters; Guitarra;No registra;NA
Guido Meda; Los Mods; Bajo;No registra;NA
Daniel Albertelli; Los Mods; Guitarra;No registra;NA
Rodolfo Garcia; Los Mods; Bateria;No registra;NA
Luis Alberto Spinetta; Los Mods; Guitarra;No registra;NA
Angel del Guercio; Los Sbirros; Bateria;No registra;NA
Ricardo Miró; Los Sbirros; Guitarra;No registra;NA
Eduardo Miró; Los Sbirros; Bajo;No registra;NA
Edelmiro Molinari; Los Sbirros; Guitarra;No registra;NA
Emilio del Guercio; Los Sbirros; Bajo;No registra;NA
Santiago Novoa; Los Sbirros; Trclados;No registra;NA
Edelmiro Molinari; Almendra; Guitarra;Almendra;1969
Emilio del Guercio; Almendra; Bajo;Almendra;1969
Luis Alberto Spinetta; Almendra; Voz;Almendra;1969
Luis Alberto Spinetta; Almendra; Guitarra;Almendra;1969
Rodolfo Garcia; Almendra; Bateria;Almendra;1969
